symbol,timestamp,open,high,low,close,volume
600519.SH,20220627,1825.02,1855.02,1805.38,1815.63,40115
600519.SH,20220628,1824.82,1846.08,1806.08,1841.08,25246
600519.SH,20220629,1833.08,1847.08,1816.09,1835.08,30360
600519.SH,20220630,1826.76,1903.76,1826.75,1871.76,38982
600519.SH,20220701,1881.76,1894.53,1841.97,1855.81,21596
600519.SH,20220704,1846.77,1851.05,1827.77,1844.76,25076
600519.SH,20220705,1852.04,1881.21,1836.76,1859.77,26329
600519.SH,20220706,1858.76,1865.76,1812.76,1828.76,32752
600519.SH,20220707,1831.76,1836.11,1811.77,1816.76,20932
600519.SH,20220708,1831.76,1841.65,1822.92,1825.76,15644
600519.SH,20220711,1816.96,1821.53,1777.26,1790.36,23949
600519.SH,20220712,1791.76,1799.56,1756.82,1775.17,23447
600519.SH,20220713,1771.76,1798.76,1767.43,1785.65,19854
600519.SH,20220714,1786.76,1803.56,1767.76,1779.76,20527
600519.SH,20220715,1771.87,1826.44,1771.27,1776.26,33416
600519.SH,20220718,1779.12,1785.76,1748.76,1778.42,24221
600519.SH,20220719,1771.76,1778.41,1752.76,1769.86,21956
600519.SH,20220720,1785.51,1796.76,1771.76,1776.86,18705
600519.SH,20220721,1769.86,1782.66,1761.27,1765.76,14061
600519.SH,20220722,1775.98,1788.76,1761.76,1773.76,25114
600519.SH,20220725,1776.27,1779.06,1757.76,1771.41,16912
600519.SH,20220726,1779.75,1791.73,1773.78,1776.97,20685
600519.SH,20220727,1768.76,1774.76,1743.76,1746.36,21490
600519.SH,20220728,1747.86,1764.76,1719.42,1724.76,34870
600519.SH,20220729,1721.86,1745.75,1704.86,1725.2,37032
600519.SH,20220801,1716.77,1734.76,1707.94,1717.06,21037
600519.SH,20220802,1706.76,1714.74,1684.77,1706.74,28221
600519.SH,20220803,1716.75,1730.76,1703.76,1711.76,24598
600519.SH,20220804,1716.76,1749.86,1706.89,1742.77,30357
600519.SH,20220805,1754.56,1761.76,1731.66,1750.72,20086
600519.SH,20220808,1741.91,1759.64,1734.27,1738.29,16799
600519.SH,20220809,1738.29,1745.75,1731.76,1736.76,13875
600519.SH,20220810,1736.74,1744.76,1691.34,1702.76,27927
600519.SH,20220811,1712.76,1733.76,1704.77,1733.66,26061
600519.SH,20220812,1733.66,1756.76,1726.76,1754.76,20260
600519.SH,20220815,1747.22,1766.26,1742.31,1746.65,19323
600519.SH,20220816,1750.7,1760.55,1742.76,1744.6,14836
600519.SH,20220817,1756.76,1756.76,1721.76,1744.76,18361
600519.SH,20220818,1734.76,1739.84,1707.83,1722.26,23168
600519.SH,20220819,1724.76,1735.11,1714.76,1721.77,13544
600519.SH,20220822,1711.77,1733.76,1708.14,1720.74,15427
600519.SH,20220823,1725.36,1725.36,1693.76,1696.77,23756
600519.SH,20220824,1696.75,1701.99,1677.76,1680.96,18728
600519.SH,20220825,1685.76,1714.76,1680.96,1711.76,21925
600519.SH,20220826,1726.76,1738.76,1712.76,1724.76,23142
600519.SH,20220829,1709.76,1726.73,1700.76,1705.58,13570
600519.SH,20220830,1709.11,1711.76,1680.96,1696.76,18235
600519.SH,20220831,1686.86,1752.32,1686.77,1750.76,44692
600519.SH,20220901,1738.91,1742.76,1707.65,1707.65,26845
600519.SH,20220902,1716.7,1719.72,1692.93,1701.76,19391
